subject_id	subject_label	object_id	object_label	comment_leonmap	comment_gilda	confidence_leonmap	confidence_gilda	mapping_justification_leonmap	mapping_justification_gilda	predicate_id_leonmap	predicate_id_gilda
icd10:A22.2	Gastrointestinal anthrax	mesh:C571911	Gastrointestinal anthrax	cosine=1.000000		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C86.3	Subcutaneous panniculitis-like T-cell lymphoma	mesh:C537503	Subcutaneous panniculitis-like T-cell lymphoma	cosine=1.000000		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q35.3	Cleft soft palate	mesh:C562950	Cleft Soft Palate	cosine=1.000000		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T51.3	Fusel oil	mesh:C007807	fusel oil	cosine=1.000000		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A22.0	Cutaneous anthrax	mesh:C531621	Cutaneous anthrax	cosine=0.959543		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q45.1	Annular pancreas	mesh:C536376	Annular pancreas	cosine=0.952773		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M12.3	Palindromic rheumatism	mesh:C538103	Palindromic rheumatism	cosine=0.950156		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E67.0	Hypervitaminosis A	mesh:D006986	Hypervitaminosis A	cosine=0.941888		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:D58.1	Hereditary elliptocytosis	mesh:D004612	Elliptocytosis, Hereditary	cosine=0.938904		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Y47.4	Bromine compounds	mesh:D017605	Bromine Compounds	cosine=0.937036		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A07.3	Isosporiasis	mesh:D021865	Isosporiasis	cosine=0.935295		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K83.0	Cholangitis	mesh:D002761	Cholangitis	cosine=0.931747		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T79.4	Traumatic shock	mesh:D012774	Shock, Traumatic	cosine=0.929071		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R82.1	Myoglobinuria	mesh:D009212	Myoglobinuria	cosine=0.928068		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M22.4	Chondromalacia patellae	mesh:D046789	Chondromalacia Patellae	cosine=0.927754		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B66.2	Dicrocoeliasis	mesh:D004011	Dicrocoeliasis	cosine=0.927462		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q77.0	Achondrogenesis	mesh:C579878	Achondrogenesis	cosine=0.921598		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q67.0	Facial asymmetry	mesh:D005146	Facial Asymmetry	cosine=0.921511		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:H01.0	Blepharitis	mesh:D001762	Blepharitis	cosine=0.920960		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:L29.2	Pruritus vulvae	mesh:D011539	Pruritus Vulvae	cosine=0.919747		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T68	Hypothermia	mesh:D007035	Hypothermia	cosine=0.918717		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R18	Ascites	mesh:D001201	Ascites	cosine=0.917603		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Z54	Convalescence	mesh:D003289	Convalescence	cosine=0.917102		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:L08.0	Pyoderma	mesh:D011711	Pyoderma	cosine=0.916808		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T33-T35	Frostbite	mesh:D005627	Frostbite	cosine=0.915029		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q32.0	Congenital tracheomalacia	mesh:C557675	Congenital tracheomalacia	cosine=0.914818		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Y59.1	Rickettsial vaccines	mesh:D012290	Rickettsial Vaccines	cosine=0.913816		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:G83.4	Cauda equina syndrome	mesh:D000077684	Cauda Equina Syndrome	cosine=0.913744		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R04.0	Epistaxis	mesh:D004844	Epistaxis	cosine=0.913480		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:H16.2	Keratoconjunctivitis	mesh:D007637	Keratoconjunctivitis	cosine=0.911092		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E40-E46	Malnutrition	mesh:D044342	Malnutrition	cosine=0.910807		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
