#curie_map:
#  icd10: https://icd.who.int/browse10/2019/en#/
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: https://github.com/gyorilab/mapnet/blob/main/scripts/gilda_icd10_mesh_classified/gilda_icd10_mesh_novel.sssom.tsv
#mapping_set_title: gilda_icd10_mesh_novel
#mapping_tool: gilda
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:A07.0	Balantidiasis	skos:exactMatch	mesh:D001447	Balantidiasis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A15-A19	Tuberculosis	skos:exactMatch	mesh:D014376	Tuberculosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A20	Plague	skos:exactMatch	mesh:D010930	Plague	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A22.0	Cutaneous anthrax	skos:exactMatch	mesh:C531621	Cutaneous anthrax	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A22.1	Pulmonary anthrax	skos:exactMatch	mesh:C571912	Inhalation anthrax	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	0.95
icd10:A22.2	Gastrointestinal anthrax	skos:exactMatch	mesh:C571911	Gastrointestinal anthrax	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A37	Whooping cough	skos:exactMatch	mesh:D014917	Whooping Cough	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A48.1	Legionnaires disease	skos:exactMatch	mesh:D007877	Legionnaires' Disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A50	Congenital syphilis	skos:exactMatch	mesh:D013590	Syphilis, Congenital	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A52	Late syphilis	skos:exactMatch	mesh:C536774	Syphilis, tertiary	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A52.1	Symptomatic neurosyphilis	skos:exactMatch	mesh:D013606	Tabes Dorsalis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	0.95
icd10:A69.0	Necrotizing ulcerative stomatitis	skos:exactMatch	mesh:D009625	Noma	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	0.95
icd10:A69.1	Other Vincent infections	skos:exactMatch	mesh:D005892	Gingivitis, Necrotizing Ulcerative	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	0.95
icd10:A75-A79	Rickettsioses	skos:exactMatch	mesh:D012282	Rickettsia Infections	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
icd10:A81.0	Creutzfeldt-Jakob disease	skos:exactMatch	mesh:D007562	Creutzfeldt-Jakob Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-08-04	1.0
