subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:A22.1	Pulmonary anthrax	skos:exactMatch	mesh:C571912	Inhalation anthrax	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:A52.1	Symptomatic neurosyphilis	skos:exactMatch	mesh:D013606	Tabes Dorsalis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:A69.0	Necrotizing ulcerative stomatitis	skos:exactMatch	mesh:D009625	Noma	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:A69.1	Other Vincent infections	skos:exactMatch	mesh:D005892	Gingivitis, Necrotizing Ulcerative	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:A81.8	Other atypical virus infections of central nervous system	skos:exactMatch	mesh:D007729	Kuru	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:A84.8	Other tick-borne viral encephalitis	skos:exactMatch	mesh:D008146	Louping Ill	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B08.0	Other orthopoxvirus infections	skos:exactMatch	mesh:D015605	Cowpox	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B08.8	Other specified viral infections characterized by skin and mucous membrane lesions	skos:exactMatch	mesh:D005536	Foot-and-Mouth Disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B22.0	HIV disease resulting in encephalopathy	skos:exactMatch	mesh:D015526	AIDS Dementia Complex	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B48.8	Other specified mycoses	skos:exactMatch	mesh:C000656784	adiaspiromycosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B60.8	Other specified protozoal diseases	skos:exactMatch	mesh:D016881	Microsporidiosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B66.8	Other specified fluke infections	skos:exactMatch	mesh:D004451	Echinostomiasis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:B97.3	Retrovirus as the cause of diseases classified to other chapters	skos:exactMatch	mesh:D016086	Lentivirus	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C03	Malignant neoplasm of gum	skos:exactMatch	mesh:D005881	Gingiva	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C11.1	Posterior wall of nasopharynx	skos:exactMatch	mesh:D000234	Adenoids	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C12	Malignant neoplasm of piriform sinus	skos:exactMatch	mesh:D056144	Pyriform Sinus	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C18.3	Hepatic flexure	skos:exactMatch	mesh:D044682	Colon, Ascending	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:C22.1	Intrahepatic bile duct carcinoma	skos:exactMatch	mesh:D018281	Cholangiocarcinoma	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C24.0	Extrahepatic bile duct	skos:exactMatch	mesh:D017734	Bile Ducts, Extrahepatic	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:C38.0	Heart	skos:exactMatch	mesh:D010496	Pericardium	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C49	Malignant neoplasm of other connective and soft tissue	skos:exactMatch	mesh:D042601	Lymphatic Vessels	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C60.0	Prepuce	skos:exactMatch	mesh:D052816	Foreskin	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C81	Hodgkin lymphoma	skos:exactMatch	mesh:D006689	Hodgkin Disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:C86.6	Primary cutaneous CD30-positive T-cell proliferations	skos:exactMatch	mesh:D017731	Lymphomatoid Papulosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C88.0	Waldenström macroglobulinaemia	skos:exactMatch	mesh:D008258	Waldenstrom Macroglobulinemia	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:C92.4	Acute promyelocytic leukaemia [PML]	skos:exactMatch	mesh:D015473	Leukemia, Promyelocytic, Acute	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:C96.6	Unifocal Langerhans-cell histiocytosis	skos:exactMatch	mesh:D004803	Eosinophilic Granuloma	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D00-D09	In situ neoplasms	skos:exactMatch	mesh:D001913	Bowen's Disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D28	Benign neoplasm of other and unspecified female genital organs	skos:exactMatch	mesh:D018256	Adenomatous Polyps	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D39.0	Uterus	skos:exactMatch	mesh:D014599	Uterus	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:D44.8	Pluriglandular involvement	skos:exactMatch	mesh:D009377	Multiple Endocrine Neoplasia	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D47.4	Osteomyelofibrosis	skos:exactMatch	mesh:D055728	Primary Myelofibrosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D48.7	Other specified sites	skos:exactMatch	mesh:D006321	Heart	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
