#curie_map:
#  icd10: https://icd.who.int/browse10/2019/en#/
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: gilda_icd10_mesh_novel
#mapping_tool: gilda
subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	mapping_tool
icd10:A02.0	Salmonella enteritis	skos:exactMatch	mesh:D012480	Salmonella Infections	0.95	semapv:LexicalMatching	gilda
icd10:A07.8	Other specified protozoal intestinal diseases	skos:exactMatch	mesh:D012523	Sarcocystosis	0.95	semapv:LexicalMatching	gilda
icd10:A22.1	Pulmonary anthrax	skos:exactMatch	mesh:C571912	Inhalation anthrax	0.95	semapv:LexicalMatching	gilda
icd10:A25	Rat-bite fevers	skos:exactMatch	mesh:D011906	Rat-Bite Fever	1.0	semapv:LexicalMatching	gilda
icd10:A31.1	Cutaneous mycobacterial infection	skos:exactMatch	mesh:D054312	Buruli Ulcer	0.95	semapv:LexicalMatching	gilda
icd10:A43	Nocardiosis	skos:exactMatch	mesh:D009617	Nocardia Infections	1.0	semapv:LexicalMatching	gilda
icd10:A52.1	Symptomatic neurosyphilis	skos:exactMatch	mesh:D013606	Tabes Dorsalis	0.95	semapv:LexicalMatching	gilda
icd10:A55	Chlamydial lymphogranuloma (venereum)	skos:exactMatch	mesh:D008219	Lymphogranuloma Venereum	0.95	semapv:LexicalMatching	gilda
icd10:A68	Relapsing fevers	skos:exactMatch	mesh:D012061	Relapsing Fever	1.0	semapv:LexicalMatching	gilda
icd10:A69.0	Necrotizing ulcerative stomatitis	skos:exactMatch	mesh:D009625	Noma	0.95	semapv:LexicalMatching	gilda
icd10:A69.1	Other Vincent infections	skos:exactMatch	mesh:D005892	Gingivitis, Necrotizing Ulcerative	0.95	semapv:LexicalMatching	gilda
icd10:A75.3	Typhus fever due to Rickettsia tsutsugamushi	skos:exactMatch	mesh:D012612	Scrub Typhus	0.95	semapv:LexicalMatching	gilda
icd10:A77.0	Spotted fever due to Rickettsia rickettsii	skos:exactMatch	mesh:D012373	Rocky Mountain Spotted Fever	0.95	semapv:LexicalMatching	gilda
icd10:A77.1	Spotted fever due to Rickettsia conorii	skos:exactMatch	mesh:D001907	Boutonneuse Fever	0.95	semapv:LexicalMatching	gilda
icd10:A81.8	Other atypical virus infections of central nervous system	skos:exactMatch	mesh:D007729	Kuru	0.95	semapv:LexicalMatching	gilda
