subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:Q52.3	Imperforate hymen	skos:exactMatch	mesh:C562397	Hymen, Imperforate	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:G80.1	Spastic diplegic cerebral palsy	skos:exactMatch	mesh:C537945	Cerebral palsy, spastic, diplegic	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:C18.6	Descending colon	skos:exactMatch	mesh:D044683	Colon, Descending	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:D12.5	Sigmoid colon	skos:exactMatch	mesh:D012809	Colon, Sigmoid	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:T45.5	Anticoagulants	skos:exactMatch	mesh:D000925	Anticoagulants	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:T36.4	Tetracyclines	skos:exactMatch	mesh:D013754	Tetracyclines	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:T42.4	Benzodiazepines	skos:exactMatch	mesh:D001569	Benzodiazepines	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:D57.3	Sickle-cell trait	skos:exactMatch	mesh:D012805	Sickle Cell Trait	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:M85.0	Fibrous dysplasia (monostotic)	skos:exactMatch	mesh:D005358	Fibrous Dysplasia, Monostotic	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:E73.0	Congenital lactase deficiency	skos:exactMatch	mesh:C562600	Lactase Deficiency, Congenital	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:K42	Umbilical hernia	skos:exactMatch	mesh:D006554	Hernia, Umbilical	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
