subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:A07.3	Isosporiasis	skos:exactMatch	mesh:D021865	Isosporiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B35.3	Tinea pedis	skos:exactMatch	mesh:D014008	Tinea Pedis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:I20.0	Unstable angina	skos:exactMatch	mesh:D000789	Angina, Unstable	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B58	Toxoplasmosis	skos:exactMatch	mesh:D014123	Toxoplasmosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B44	Aspergillosis	skos:exactMatch	mesh:D001228	Aspergillosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B70.0	Diphyllobothriasis	skos:exactMatch	mesh:D004169	Diphyllobothriasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B73	Onchocerciasis	skos:exactMatch	mesh:D009855	Onchocerciasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B76.0	Ancylostomiasis	skos:exactMatch	mesh:D000724	Ancylostomiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F60.7	Dependent personality disorder	skos:exactMatch	mesh:D003859	Dependent Personality Disorder	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F52.4	Premature ejaculation	skos:exactMatch	mesh:D061686	Premature Ejaculation	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A39.1	Waterhouse-Friderichsen syndrome	skos:exactMatch	mesh:D014884	Waterhouse-Friderichsen Syndrome	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A30.3	Borderline leprosy	skos:exactMatch	mesh:D015439	Leprosy, Borderline	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B72	Dracunculiasis	skos:exactMatch	mesh:D004320	Dracunculiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B70.1	Sparganosis	skos:exactMatch	mesh:D013031	Sparganosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:N94.2	Vaginismus	skos:exactMatch	mesh:D052065	Vaginismus	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A58	Granuloma inguinale	skos:exactMatch	mesh:D006100	Granuloma Inguinale	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:J36	Peritonsillar abscess	skos:exactMatch	mesh:D000039	Peritonsillar Abscess	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F42	Obsessive-compulsive disorder	skos:exactMatch	mesh:D009771	Obsessive-Compulsive Disorder	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A42	Actinomycosis	skos:exactMatch	mesh:D000196	Actinomycosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B79	Trichuriasis	skos:exactMatch	mesh:D014257	Trichuriasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B74.3	Loiasis	skos:exactMatch	mesh:D008118	Loiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:R48.1	Agnosia	skos:exactMatch	mesh:D000377	Agnosia	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F91.3	Oppositional defiant disorder	skos:exactMatch	mesh:D000096865	Oppositional Defiant Disorder	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:K67.3	Tuberculous peritonitis	skos:exactMatch	mesh:D014395	Peritonitis, Tuberculous	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B80	Enterobiasis	skos:exactMatch	mesh:D017229	Enterobiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B77	Ascariasis	skos:exactMatch	mesh:D001196	Ascariasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B55.0	Visceral leishmaniasis	skos:exactMatch	mesh:D007898	Leishmaniasis, Visceral	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B71.0	Hymenolepiasis	skos:exactMatch	mesh:D006925	Hymenolepiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A78	Q fever	skos:exactMatch	mesh:D011778	Q Fever	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:I42.6	Alcoholic cardiomyopathy	skos:exactMatch	mesh:D002310	Cardiomyopathy, Alcoholic	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:L03	Cellulitis	skos:exactMatch	mesh:D002481	Cellulitis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F48.0	Neurasthenia	skos:exactMatch	mesh:D009440	Neurasthenia	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A07.2	Cryptosporidiosis	skos:exactMatch	mesh:D003457	Cryptosporidiosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B37	Candidiasis	skos:exactMatch	mesh:D002177	Candidiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A32	Listeriosis	skos:exactMatch	mesh:D008088	Listeriosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:J16.0	Chlamydial pneumonia	skos:exactMatch	mesh:D061387	Chlamydial Pneumonia	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:K65	Peritonitis	skos:exactMatch	mesh:D010538	Peritonitis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A01.0	Typhoid fever	skos:exactMatch	mesh:D014435	Typhoid Fever	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B76.1	Necatoriasis	skos:exactMatch	mesh:D009332	Necatoriasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F60.1	Schizoid personality disorder	skos:exactMatch	mesh:D012557	Schizoid Personality Disorder	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:L00	Staphylococcal scalded skin syndrome	skos:exactMatch	mesh:D013206	Staphylococcal Scalded Skin Syndrome	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A19	Miliary tuberculosis	skos:exactMatch	mesh:D014391	Tuberculosis, Miliary	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B30	Viral conjunctivitis	skos:exactMatch	mesh:D003236	Conjunctivitis, Viral	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B60.0	Babesiosis	skos:exactMatch	mesh:D001404	Babesiosis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F60.4	Histrionic personality disorder	skos:exactMatch	mesh:D006677	Histrionic Personality Disorder	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B87	Myiasis	skos:exactMatch	mesh:D009198	Myiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A66	Yaws	skos:exactMatch	mesh:D015001	Yaws	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B81.0	Anisakiasis	skos:exactMatch	mesh:D017129	Anisakiasis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:B05	Measles	skos:exactMatch	mesh:D008457	Measles	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:A05.1	Botulism	skos:exactMatch	mesh:D001906	Botulism	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
