#curie_map:
#  icd10: https://icd.who.int/browse10/2019/en#/
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: https://github.com/gyorilab/mapnet/blob/main/scripts/leonmap_icd10_mesh_full_classified/leonmap_icd10_mesh_full_wrong.sssom.tsv
#mapping_set_title: leonmap_icd10_mesh_full_wrong
#mapping_tool: leonmap
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:H16	Keratitis	skos:exactMatch	mesh:D007634	Keratitis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	1.0
icd10:A97.2	Severe Dengue	skos:exactMatch	mesh:D019595	Severe Dengue	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	1.0
icd10:A65	Nonvenereal syphilis	skos:closeMatch	mesh:C538405	Dichuchwa	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	1.0
icd10:A26.9	Erysipeloid, unspecified	skos:closeMatch	mesh:D004889	Erysipelothrix Infections	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.905466
icd10:A49.3	Mycoplasma infection, unspecified site	skos:closeMatch	mesh:D009180	Mycoplasmatales Infections	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.93122
icd10:A64	Unspecified sexually transmitted disease	skos:closeMatch	mesh:D014686	Venereology	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.930912
icd10:A75.2	Typhus fever due to Rickettsia typhi	skos:closeMatch	mesh:D012286	Rickettsia typhi	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.946883
icd10:A79	Other rickettsioses	skos:closeMatch	mesh:D012288	Rickettsiaceae Infections	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.916242
icd10:B08.2	Exanthema subitum [sixth disease]	skos:closeMatch	mesh:D005076	Exanthema	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.903905
icd10:B34.2	Coronavirus infection, unspecified site	skos:closeMatch	mesh:D003333	Coronaviridae Infections	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.913364
icd10:B50.9	Plasmodium falciparum malaria, unspecified	skos:closeMatch	mesh:D010963	Plasmodium falciparum	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.908059
icd10:B52.9	Plasmodium malariae malaria without complication	skos:closeMatch	mesh:C531736	Acute malaria	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.908097
icd10:B68.1	Taenia saginata taeniasis	skos:closeMatch	mesh:D041202	Taenia saginata	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.931347
icd10:B68.9	Taeniasis, unspecified	skos:closeMatch	mesh:D013621	Taenia	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.904451
icd10:B74.8	Other filariases	skos:closeMatch	mesh:D060348	Dirofilaria repens	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.912145
icd10:F41.0	Panic disorder [episodic paroxysmal anxiety]	skos:closeMatch	mesh:D010200	Panic	semapv:SemanticSimilarity	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-08-04	0.921844
