#curie_map:
#  mondo: http://purl.obolibrary.org/obo/MONDO_
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: leonmap_mondo_mesh_novel
#mapping_tool: leonmap
subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	mapping_tool	comment
mondo:0000005	alopecia, isolated	skos:exactMatch	mesh:C566301	Alopecia, Familial Focal	0.9007045	semapv:SemanticSimilarity	leonmap	
mondo:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	mesh:D001791	Blood Platelet Disorders	0.9014433	semapv:SemanticSimilarity	leonmap	
mondo:0000014	colorblindness, partial	skos:exactMatch	mesh:C564440	Colorblindness, Partial Tritanomaly	0.915281	semapv:SemanticSimilarity	leonmap	
mondo:0000032	febrile seizures, familial	skos:exactMatch	mesh:C565162	Febrile Convulsions, Familial, 1	0.90138072	semapv:SemanticSimilarity	leonmap	
mondo:0000044	hereditary hypophosphatemic rickets	skos:broadMatch	mesh:D053098	Familial Hypophosphatemic Rickets	1.0	semapv:LexicalMatching	leonmap	cosine=0.808377
mondo:0000045	hypothyroidism, congenital, nongoitrous	skos:broadMatch	mesh:C000603735	Congenital Nongoitrous Hypothyroidism	1.0	semapv:LexicalMatching	leonmap	cosine=0.877931
mondo:0000062	isolated microphthalmia	skos:exactMatch	mesh:C565377	Microphthalmia, Isolated 1	0.94255966	semapv:SemanticSimilarity	leonmap	
mondo:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	skos:exactMatch	mesh:C564926	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Recessive	0.97010052	semapv:SemanticSimilarity	leonmap	
mondo:0000111	camptodactyly syndrome, Guadalajara	skos:broadMatch	mesh:C537970	Camptodactyly syndrome Guadalajara type 1	1.0	semapv:LexicalMatching	leonmap	cosine=0.807534
mondo:0000129	glutaric aciduria	skos:exactMatch	mesh:C536834	Glutaric aciduria 2	0.91468698	semapv:SemanticSimilarity	leonmap	
mondo:0000136	keratosis follicularis spinulosa decalvans	skos:broadMatch	mesh:C536159	Keratosis Follicularis Spinulosa Decalvans, X-Linked	1.0	semapv:LexicalMatching	leonmap	cosine=0.777675
mondo:0000151	symphalangism	skos:exactMatch	mesh:C566099	Symphalangism, Distal	0.92640048	semapv:SemanticSimilarity	leonmap	
mondo:0000156	trigonocephaly	skos:broadMatch	mesh:D003398	Craniosynostoses	1.0	semapv:LexicalMatching	leonmap	cosine=0.578512
mondo:0000181	microcephaly and chorioretinopathy	skos:exactMatch	mesh:C565379	Microcephaly with Chorioretinopathy, Autosomal Recessive	0.9362464	semapv:SemanticSimilarity	leonmap	
mondo:0000188	GLUT1 deficiency syndrome	skos:exactMatch	mesh:C536830	Glut1 Deficiency Syndrome	1.0	semapv:LexicalMatching	leonmap	cosine=0.903236
mondo:0000227	African tick-bite fever	skos:broadMatch	mesh:D000073605	Spotted Fever Group Rickettsiosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.812097
mondo:0000231	Far eastern spotted fever	skos:broadMatch	mesh:D000073605	Spotted Fever Group Rickettsiosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.728969
mondo:0000232	Flinders island spotted fever	skos:broadMatch	mesh:D000073605	Spotted Fever Group Rickettsiosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.840479
mondo:0000270	lower respiratory tract disorder	skos:exactMatch	mesh:D012140	Respiratory Tract Diseases	0.90918946	semapv:SemanticSimilarity	leonmap	
mondo:0000276	Powassan encephalitis	skos:broadMatch	mesh:D004675	Encephalitis, Tick-Borne	1.0	semapv:LexicalMatching	leonmap	cosine=0.773923
mondo:0000297	baylisascariasis	skos:exactMatch	mesh:D017191	Ascaridida Infections	0.93458313	semapv:SemanticSimilarity	leonmap	
mondo:0000298	dioctophymiasis	skos:broadMatch	mesh:D017189	Enoplida Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.561590
mondo:0000302	basidiobolomycosis	skos:broadMatch	mesh:C000656785	entomophthoromycosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.711807
