#curie_map:
#  mondo: http://purl.obolibrary.org/obo/MONDO_
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: leonmap_mondo_mesh_wrong
#mapping_tool: leonmap
subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	mapping_tool	comment
mondo:0000127	geleophysic dysplasia	skos:broadMatch	mesh:C535662	Acromicric dysplasia	1.0	semapv:LexicalMatching	leonmap	cosine=0.740681; known_target=mesh:C537677
mondo:0000153	transposition of the great arteries	skos:exactMatch	mesh:D000080041	Congenitally Corrected Transposition of the Great Arteries	0.9354918	semapv:SemanticSimilarity	leonmap	known_target=mesh:D014188
mondo:0000159	bone marrow failure syndrome	skos:broadMatch	mesh:D000080983	Bone Marrow Failure Disorders	1.0	semapv:LexicalMatching	leonmap	cosine=0.923043; known_target=mesh:C536572
mondo:0000266	pulmonary aspergilloma	skos:exactMatch	mesh:D001228	Aspergillosis	0.90400565	semapv:SemanticSimilarity	leonmap	known_target=mesh:D055732
mondo:0000290	primary amebic meningoencephalitis	skos:broadMatch	mesh:D020808	Central Nervous System Protozoal Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.709424; known_target=mesh:C535275
mondo:0000476	generalized dystonia	skos:exactMatch	mesh:C538005	Dystonia musculorum deformans type 1	0.93476999	semapv:SemanticSimilarity	leonmap	known_target=mesh:D004422
mondo:0000495	oppositional defiant disorder	skos:exactMatch	mesh:D000096865	Oppositional Defiant Disorder	1.0	semapv:LexicalMatching	leonmap	cosine=0.948448; known_target=mesh:D019958
mondo:0001167	spastic diplegia	skos:broadMatch	mesh:D002547	Cerebral Palsy	1.0	semapv:LexicalMatching	leonmap	cosine=0.871043; known_target=mesh:C537945
mondo:0001244	vitamin K deficiency hemorrhagic disease	skos:exactMatch	mesh:D006475	Vitamin K Deficiency Bleeding	0.92650354	semapv:SemanticSimilarity	leonmap	known_target=mesh:D014813
mondo:0001301	rumination disorder	skos:broadMatch	mesh:D000079562	Rumination Syndrome	1.0	semapv:LexicalMatching	leonmap	cosine=0.895704; known_target=mesh:D019959
mondo:0001443	tympanosclerosis	skos:exactMatch	mesh:D000092163	Tympanosclerosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.794572; known_target=mesh:D063371
mondo:0001712	alexia	skos:broadMatch	mesh:D004410	Dyslexia	1.0	semapv:LexicalMatching	leonmap	cosine=0.818470; known_target=mesh:D004411
mondo:0001713	inherited aplastic anemia	skos:exactMatch	mesh:D000741	Anemia, Aplastic	0.90856475	semapv:SemanticSimilarity	leonmap	known_target=mesh:D029502
mondo:0002039	cognitive disorder	skos:broadMatch	mesh:D060825	Cognitive Dysfunction	1.0	semapv:LexicalMatching	leonmap	cosine=0.823593; known_target=mesh:D019965
mondo:0002184	drug-induced hepatitis	skos:broadMatch	mesh:D056486	Chemical and Drug Induced Liver Injury	1.0	semapv:LexicalMatching	leonmap	cosine=0.824454; known_target=mesh:D056487
mondo:0002350	familial nephrotic syndrome	skos:exactMatch	mesh:C563805	Nephrotic Syndrome, Congenital, with or without Ocular Abnormalities	0.91240251	semapv:SemanticSimilarity	leonmap	known_target=mesh:C535761
mondo:0002411	narcissistic personality disorder	skos:exactMatch	mesh:D000097165	Narcissistic Personality Disorder	1.0	semapv:LexicalMatching	leonmap	cosine=0.806018; known_target=mesh:D010554
mondo:0002447	endometrial carcinoma	skos:broadMatch	mesh:D016889	Endometrial Neoplasms	1.0	semapv:LexicalMatching	leonmap	cosine=0.858051; known_target=mesh:D018269
mondo:0002805	hidradenoma	skos:broadMatch	mesh:D018250	Acrospiroma	1.0	semapv:LexicalMatching	leonmap	cosine=0.919679; known_target=mesh:D006607
mondo:0002886	common bile duct disorder	skos:exactMatch	mesh:D001649	Bile Duct Diseases	0.93719786	semapv:SemanticSimilarity	leonmap	known_target=mesh:D003137
mondo:0003019	potassium deficiency disease	skos:exactMatch	mesh:D011191	Potassium Deficiency	0.90616059	semapv:SemanticSimilarity	leonmap	known_target=mesh:D007008
mondo:0003061	benign muscle neoplasm	skos:exactMatch	mesh:D009379	Neoplasms, Muscle Tissue	0.92458147	semapv:SemanticSimilarity	leonmap	known_target=mesh:D009214
mondo:0003763	acute stress disorder	skos:broadMatch	mesh:D040701	Stress Disorders, Traumatic, Acute	1.0	semapv:LexicalMatching	leonmap	cosine=0.829722; known_target=mesh:D000068099
mondo:0003803	aortic valve disorder	skos:broadMatch	mesh:D000082862	Aortic Valve Disease	1.0	semapv:LexicalMatching	leonmap	cosine=0.925563; known_target=mesh:C563178
mondo:0004612	malignant histiocytosis	skos:broadMatch	mesh:D054747	Histiocytic Sarcoma	1.0	semapv:LexicalMatching	leonmap	cosine=0.858903; known_target=mesh:D015620
mondo:0004684	plantar fibromatosis	skos:broadMatch	mesh:D000071380	Fibromatosis, Plantar	1.0	semapv:LexicalMatching	leonmap	cosine=0.949595; known_target=mesh:C537000
mondo:0004686	lattice corneal dystrophy	skos:exactMatch	mesh:C563923	Corneal Dystrophy, Lattice Type IIIA	0.92851019	semapv:SemanticSimilarity	leonmap	known_target=mesh:C537935
mondo:0004963	T-cell acute lymphoblastic leukemia	skos:broadMatch	mesh:D054218	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	1.0	semapv:LexicalMatching	leonmap	cosine=0.868734; known_target=mesh:D015459
mondo:0004992	cancer	skos:broadMatch	mesh:D009369	Neoplasms	1.0	semapv:LexicalMatching	leonmap	cosine=0.759372; known_target=mesh:D009371
mondo:0005012	cutaneous melanoma	skos:exactMatch	mesh:D000096142	Melanoma, Cutaneous Malignant	0.90406907	semapv:SemanticSimilarity	leonmap	known_target=mesh:C562393
mondo:0005061	lung adenocarcinoma	skos:broadMatch	mesh:D000077192	Adenocarcinoma of Lung	1.0	semapv:LexicalMatching	leonmap	cosine=0.824011; known_target=mesh:C538231
mondo:0005073	melanocytic nevus	skos:broadMatch	mesh:D009508	Nevus, Pigmented	1.0	semapv:LexicalMatching	leonmap	cosine=0.946335; known_target=mesh:D009506
mondo:0005300	chronic kidney disease	skos:broadMatch	mesh:D051436	Renal Insufficiency, Chronic	1.0	semapv:LexicalMatching	leonmap	cosine=0.913194; known_target=mesh:D007676
mondo:0005365	hearing loss disorder	skos:exactMatch	mesh:D006312	Hearing Loss, Bilateral	0.90068245	semapv:SemanticSimilarity	leonmap	known_target=mesh:D034381
mondo:0005462	primitive neuroectodermal tumor	skos:broadMatch	mesh:D018242	Neuroectodermal Tumors, Primitive	1.0	semapv:LexicalMatching	leonmap	cosine=0.876565; known_target=mesh:D017599
mondo:0005502	dengue disease	skos:exactMatch	mesh:D019595	Severe Dengue	0.93308771	semapv:SemanticSimilarity	leonmap	known_target=mesh:D003715
mondo:0005582	binge eating disorder	skos:broadMatch	mesh:D056912	Binge-Eating Disorder	1.0	semapv:LexicalMatching	leonmap	cosine=0.859058; known_target=mesh:D002032, mesh:D052018
mondo:0005656	Ascaridida infectious disease	skos:exactMatch	mesh:D001198	Ascaridiasis	0.9191649	semapv:SemanticSimilarity	leonmap	known_target=mesh:D017191
mondo:0005696	central nervous system tuberculosis	skos:broadMatch	mesh:D020306	Tuberculosis, Central Nervous System	1.0	semapv:LexicalMatching	leonmap	cosine=0.828467; known_target=mesh:D016862
mondo:0005864	muscle cancer	skos:broadMatch	mesh:D019042	Muscle Neoplasms	1.0	semapv:LexicalMatching	leonmap	cosine=0.953254; known_target=mesh:D009217
mondo:0006009	viral encephalitis	skos:broadMatch	mesh:D018792	Encephalitis, Viral	1.0	semapv:LexicalMatching	leonmap	cosine=0.831216; known_target=mesh:D004671
mondo:0006209	fibroblastic neoplasm	skos:exactMatch	mesh:D018218	Neoplasms, Fibrous Tissue	0.91310763	semapv:SemanticSimilarity	leonmap	known_target=mesh:D005354
mondo:0006292	malignant mesothelioma	skos:broadMatch	mesh:D000086002	Mesothelioma, Malignant	1.0	semapv:LexicalMatching	leonmap	cosine=0.856250; known_target=mesh:C562839
mondo:0006752	Erysipelothrix rhusiopathiae infectious disease	skos:exactMatch	mesh:D004889	Erysipelothrix Infections	0.90756398	semapv:SemanticSimilarity	leonmap	known_target=mesh:D004887
